Tref;Tana;Pi_Vref;Peq_Vtotal;Pi_Vana;;;;
373;473;0.50427;0.48337;0.0024;;;;
373;473;1.50336;1.44075;0.0022;;;;
373;473;2.49766;2.39424;0.0021;;;;
373;523;0.50042;0.48056;0.0018;;;;
373;523;1.50284;1.44294;0.0023;;;;
373;523;2.50496;2.40388;0.0023;;;;
373;548;0.50448;0.48521;0.0021;;;;
373;548;1.50442;1.44580;0.0029;;;;
373;548;2.49368;2.39643;0.0041;;;;
373;573;0.50409;0.48513;0.0042;;;;
373;573;1.50263;1.44521;0.0036;;;;
373;573;2.49636;2.40114;0.0038;;;;
373;623;0.50455;0.48615;0.0018;;;;
373;623;1.50274;1.44789;0.0040;;;;
373;623;2.49720;2.40494;0.0040;;;;
