fila,Tiempo,setpoint Tref,Tref,setpoint Tana,Tana,setpoint_presion,fecha,Pana,Pref
1,0.0,293.1499938964844,296.79266357421875,293.1499938964844,310.2550964355469,0.0,26/05/2025 16:24:20,0.0,0.08450603485107422
2,0.016666666666666666,293.1499938964844,297.1951904296875,293.1499938964844,306.82989501953125,0.0,26/05/2025 16:24:21,0.0,0.08447687327861786
3,0.03333333333333333,293.1499938964844,297.0707702636719,293.1499938964844,305.05389404296875,0.0,26/05/2025 16:24:22,0.0,0.08449020236730576
4,0.05,293.1499938964844,297.1585998535156,293.1499938964844,307.7813415527344,0.0,26/05/2025 16:24:23,0.0,0.08451519906520844
5,0.06666666666666667,293.1499938964844,296.95367431640625,293.1499938964844,307.7813415527344,0.0,26/05/2025 16:24:24,0.0,0.08452437072992325
6,0.08333333333333333,293.1499938964844,297.1805419921875,293.1499938964844,306.00531005859375,0.0,26/05/2025 16:24:25,0.0,0.08449770510196686
7,0.1,293.1499938964844,296.8072814941406,293.1499938964844,304.7367248535156,0.0,26/05/2025 16:24:26,0.0,0.08452187478542328
8,0.11666666666666667,293.1499938964844,297.01220703125,293.1499938964844,304.9270324707031,0.0,26/05/2025 16:24:27,0.0,0.0845101997256279
9,0.13333333333333333,293.1499938964844,296.8292541503906,293.1499938964844,307.591064453125,0.0,26/05/2025 16:24:28,0.0,0.08451270312070847
10,0.15,293.1499938964844,297.0341796875,293.1499938964844,308.0350646972656,0.0,26/05/2025 16:24:29,0.0,0.08450020849704742
11,0.16666666666666666,293.1499938964844,296.8438720703125,293.1499938964844,308.4156494140625,0.0,26/05/2025 16:24:30,0.0,0.0845027044415474
12,0.18333333333333332,293.1499938964844,296.93902587890625,293.1499938964844,306.6396179199219,0.0,26/05/2025 16:24:31,0.0,0.08450686931610107
13,0.2,293.1499938964844,296.5438232421875,293.1499938964844,304.86358642578125,0.0,26/05/2025 16:24:32,0.0,0.08451186865568161
14,0.21666666666666667,293.1499938964844,296.8658447265625,293.1499938964844,307.27392578125,0.0,26/05/2025 16:24:33,0.0,0.08450686931610107
15,0.23333333333333334,293.1499938964844,296.62432861328125,293.1499938964844,303.4681396484375,0.0,26/05/2025 16:24:34,0.0,0.08451686799526215
16,0.25,293.1499938964844,296.6389465332031,293.1499938964844,302.00927734375,0.0,26/05/2025 16:24:35,0.0,0.08453353494405746
17,0.26666666666666666,293.1499938964844,296.8072814941406,293.1499938964844,305.68817138671875,0.0,26/05/2025 16:24:36,0.0,0.08450853824615479
18,0.2833333333333333,293.1499938964844,296.5730895996094,293.1499938964844,305.18072509765625,0.0,26/05/2025 16:24:37,0.0,0.08450853824615479
19,0.3,293.1499938964844,297.09271240234375,293.1499938964844,306.19561767578125,0.0,26/05/2025 16:24:38,0.0,0.08452353626489639
20,0.31666666666666665,293.1499938964844,296.79266357421875,293.1499938964844,307.2104797363281,0.0,26/05/2025 16:24:39,0.0,0.08451186865568161
21,0.3333333333333333,293.1499938964844,296.9975891113281,293.1499938964844,308.47906494140625,0.0,26/05/2025 16:24:40,0.0,0.08451353758573532
22,0.35,293.1499938964844,296.92437744140625,293.1499938964844,307.7813415527344,0.0,26/05/2025 16:24:41,0.0,0.08450603485107422
23,0.36666666666666664,293.1499938964844,296.9682922363281,293.1499938964844,306.00531005859375,0.0,26/05/2025 16:24:43,0.0,0.08452687412500381
