Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
373.15,623.15,2.6982,2.64,0.0011
373.15,623.15,2.2052,2.1585,0.0018
373.15,623.15,1.6339,1.6005,0.0011
373.15,623.15,1.0942,1.0714,0.0013
373.15,623.15,0.5493,0.5384,0.0013
373.15,573.15,0.6643,0.6503,0.0014
373.15,573.15,1.1739,1.1488,0.0011
373.15,573.15,1.7115,1.673,0.0011
373.15,573.15,2.1091,2.0607,0.001
373.15,573.15,2.6908,2.632,0.0017
373.15,523.15,2.5551,2.494,0.001
373.15,523.15,2.1073,2.0599,0.0011
373.15,523.15,1.7977,1.7565,0.001
373.15,523.15,1.106,1.0809,0.001
373.15,523.15,0.5273,0.5157,0.001
373.15,473.15,2.5506,2.4874,0.0012
373.15,473.15,2.1321,2.079,0.0014
373.15,473.15,1.6587,1.6187,0.0012
373.15,473.15,1.0558,1.031,0.0013
373.15,473.15,0.6371,0.6222,0.002
373.15,423.15,2.5728,2.5008,0.001
373.15,423.15,2.133,2.0771,0.0011
373.15,423.15,1.6152,1.5733,0.001
373.15,423.15,1.098,1.0702,0.001
373.15,423.15,0.5324,0.519,0.001
373.15,373.15,2.5633,2.4918,0.0012
373.15,373.15,2.1883,2.1261,0.001
373.15,373.15,1.6533,1.6072,0.001
373.15,373.15,1.0833,1.0534,0.0011
373.15,373.15,0.6302,0.6131,0.0011
