,PrefIni,PanaIni,fecha_ini,fecha_fin
1,2.1008,0.003847,28/05/2025 10:26:58,28/05/2025 10:34:58
2,2.1036,0.003513,28/05/2025 10:51:14,28/05/2025 10:59:14
3,2.1033,0.003467,28/05/2025 12:49:42,28/05/2025 12:57:42
4,2.1032,0.003558,28/05/2025 13:47:19,28/05/2025 13:55:19
5,2.1048,0.003497,28/05/2025 17:45:41,28/05/2025 17:53:51
6,2.1036,0.003427,28/05/2025 18:23:11,28/05/2025 18:31:11
7,2.1034,0.003453,28/05/2025 19:53:09,28/05/2025 20:01:09
8,2.1007,0.003331,28/05/2025 20:32:25,28/05/2025 20:40:25
9,2.1014,0.003375,28/05/2025 21:05:26,28/05/2025 24:13:26

