,PrefIni,PanaIni,fecha_ini,fecha_fin
1,0.003655,2.4634,28/05/2025 10:09:09,28/05/2025 10:17:09
2,0.003598,1.8941,28/05/2025 10:41:33,28/05/2025 10:49:33
3,0.003431,1.8981,28/05/2025 11:05:24,28/05/2025 11:13:24
4,0.003483,1.896,128/05/2025 13:15:16,28/05/2025 13:23:16
5,0.003529,1.8905,28/05/2025 16:27:05,28/05/2025 16:35:05
6,0.003441,1.8978,28/05/2025 18:08:36,28/05/2025 18:16:36
7,0.003498,1.892,128/05/2025 19:38:53,28/05/2025 19:46:53
8,0.003482,1.8975,28/05/2025 20:22:46,28/05/2025 20:30:46
9,0.003395,1.8972,28/05/2025 20:53:27,28/05/2025 21:01:27

